################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.1585357821193661E+01   4.1597953977912034E+00   4.6682844022442760E+00
         1          2   0.0000000000000000E+00   1.1234703365361359E+01   5.6718090377637109E+00   3.4841759948783317E+00
         1          3   0.0000000000000000E+00   1.8726706845048255E+01   3.5916714490524804E+00   4.0995545065206009E+00
         1          4   0.0000000000000000E+00   9.7998893565576850E+00   4.9406033148760837E+00   3.0441003102179169E+00
         1          5   0.0000000000000000E+00   1.4389399251779428E+01   2.7348852864675619E+00   3.2269155690018185E+00
         1          6   0.0000000000000000E+00   7.6345366105237318E+00   3.8331180405068004E+00   2.3748004057494132E+00
         1          7   0.0000000000000000E+00   9.4838701115846042E+00   1.7787189275198680E+00   2.2171262903967341E+00
         1          8   0.0000000000000000E+00   5.2125744027807475E+00   2.5765418856426949E+00   1.6098277799936620E+00
         1          9   0.0000000000000000E+00   5.1449843146008893E+00   9.5585316982704704E-01   1.2869970750981923E+00
         1         10   0.0000000000000000E+00   3.0952803189430700E+00   1.4330060951420633E+00   9.0553002326934440E-01
         1         11   0.0000000000000000E+00   2.1670934752937483E+00   4.1252669867909031E-01   6.0361997356747099E-01
         1         12   0.0000000000000000E+00   1.5808044577752556E+00   5.7634957534218134E-01   3.7014510251524491E-01
         1         13   0.0000000000000000E+00   7.6010037239770900E-01   1.4280903981176316E-01   2.2032641791008223E-01
         1         14   0.0000000000000000E+00   6.6060189337409803E-01   1.2726417126095266E-01   8.5393420686408872E-02
         1         15   0.0000000000000000E+00   3.2502667170502730E-01   3.2480967276999992E-02   5.1684362469467962E-02
         1         16   0.0000000000000000E+00   1.9208948498284406E-01   1.0385356713976283E-02   8.5095134234417589E-03
         1         17   0.0000000000000000E+00   6.5261222851219913E-01   6.4119872638764716E-02   1.0501994356117647E-01
         1         18   0.0000000000000000E+00   1.7657905674681604E-01   5.8699280717075704E-03   1.0783952508691522E-02
         1         19   0.0000000000000000E+00   3.8384083169605976E-01   4.7492059916012470E-02   3.3404307070130472E-02
         1         20   0.0000000000000000E+00   1.7024237978240619E+00   1.6073206640326068E-01   2.6410835548420580E-01
         1         21   0.0000000000000000E+00   3.4365042884850361E-01   2.7209980384119335E-02   3.6811579773330966E-02
         1         22   0.0000000000000000E+00   4.5767033847460259E-01   7.1565018762854316E-02   5.0485258428027972E-02
         1         23   0.0000000000000000E+00   7.0827000414995317E-02   8.8311534500129484E-03   1.4369554472464024E-02
         1         24   0.0000000000000000E+00   2.5105299323143190E-02   1.1562997191080818E-04   6.9793345833225483E-04
         1         25   0.0000000000000000E+00   4.5761539770643005E-02   1.9019843342826487E-03   1.7363011513578128E-03
         1         26   0.0000000000000000E+00   7.8007477139474113E-01   8.5465897136931854E-02   1.3731264456754402E-01
         1         27   0.0000000000000000E+00   1.1848170504159132E-01   1.2209793892972439E-02   1.4929105498309177E-02
         1         28   0.0000000000000000E+00   2.0677273546849548E-01   9.1241211294650730E-03   7.3982965561192465E-03
         1         29   0.0000000000000000E+00   1.3717502345322686E+02   1.1761396651588713E+01   2.2712076022545929E+01
         1         30   0.0000000000000000E+00   2.0722148791120812E+01   4.8277500228621495E+00   4.1323551166403067E+00
         1         31   0.0000000000000000E+00   3.7813777330668316E+01   1.3219190888171983E+01   8.7739953500804475E+00
         1         32   0.0000000000000000E+00   1.2990535679620348E+02   1.0522809019621047E+01   2.1079841131247488E+01
         1         33   0.0000000000000000E+00   2.0739161201672434E+01   4.7827536061676614E+00   4.0652911371977307E+00
         1         34   0.0000000000000000E+00   3.3716628766238884E+01   1.1275199903232121E+01   7.4627789558202311E+00
         1         35   0.0000000000000000E+00   3.8950646888061520E+01   3.9391511741084413E+00   6.7971030588497507E+00
         1         36   0.0000000000000000E+00   6.0055163187903178E+00   1.3269753003644382E+00   1.1843688998070152E+00
         1         37   0.0000000000000000E+00   1.0697980659993332E+01   3.8047768926787877E+00   2.5345979897621862E+00
         1         38   0.0000000000000000E+00   3.2539146211840396E+01   2.9226919791733543E+00   5.3530397535600187E+00
         1         39   0.0000000000000000E+00   5.7902779481030890E+00   1.2799005940005768E+00   1.1266335086207380E+00
         1         40   0.0000000000000000E+00   7.2630443406286913E+00   1.9793064554888435E+00   1.3267578447638382E+00
         1         41   0.0000000000000000E+00   2.8888005076059926E+01   2.6649279241510571E+00   4.7996140582842646E+00
         1         42   0.0000000000000000E+00   5.6829546983384676E+00   7.0550161051713367E-01   7.1700597104651687E-01
         1         43   0.0000000000000000E+00   9.1761895029341964E+00   3.0464092638175324E+00   2.0230733847141824E+00
         1         44   0.0000000000000000E+00   2.6389795821084405E+01   2.2129333967597109E+00   4.1795919347596007E+00
         1         45   0.0000000000000000E+00   4.2506574150109762E+00   6.9660691804575792E-01   6.9770592465373582E-01
         1         46   0.0000000000000000E+00   7.4330498763199664E+00   2.3897871686180538E+00   1.5877178023155130E+00
         1         47   0.0000000000000000E+00   8.0241711797317716E+00   8.8743111292916022E-01   1.4529205323823964E+00
         1         48   0.0000000000000000E+00   1.7329579399467101E+00   1.9171268438186653E-01   1.9997334249343765E-01
         1         49   0.0000000000000000E+00   2.5149208296511376E+00   8.8898623979677427E-01   5.9285586617941044E-01
         1         50   0.0000000000000000E+00   6.2356840507509483E+00   6.0158675485888924E-01   1.0345353631491496E+00
         1         51   0.0000000000000000E+00   1.0414992606451325E+00   1.8257188863142632E-01   1.8355200944494909E-01
         1         52   0.0000000000000000E+00   1.2731325257838979E+00   2.9698034183435401E-01   2.0149360773336827E-01
         1         53   0.0000000000000000E+00   1.8295167053944543E+00   2.1321604856888543E-01   3.4422747835839473E-01
         1         54   0.0000000000000000E+00   6.7345728408046279E-01   1.4645247628229038E-02   2.9467616912974955E-02
         1         55   0.0000000000000000E+00   9.8927415778953820E-01   1.7408568594798327E-01   1.2049904451626593E-01
         1         56   0.0000000000000000E+00   1.3992959649761740E+00   1.2753885962874587E-01   2.1544715426885985E-01
         1         57   0.0000000000000000E+00   3.8238121578114725E-01   1.3793295615200065E-02   2.4296440008086145E-02
         1         58   0.0000000000000000E+00   6.5163948262956561E-01   1.2263154236961749E-01   8.4214644653893320E-02
         1         59   0.0000000000000000E+00   4.1462080169622589E-01   5.8045339349854348E-02   9.2227988329856431E-02
