################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4207531946045355E-01 a         1     0     1     1     1
  1.6964377114318760E+00 a         2     0     1     1     2
 -8.7392559753326027E-01 a         3     0     1     1     3
  2.8916266605489904E-01 a         4     0     1     1     4
 -8.0341033878773016E-01 a         5     0     1     1     5
 -2.6548224295942173E+00 a         6     0     1     1     6
  2.3652599286354578E-01 a         7     0     1     1     7
 -5.7211949310116905E-01 a         8     0     1     1     8
  1.0170434845820269E-02 a         9     0     1     1     9
 -1.6149870061365492E+00 a        10     0     1     1    10
  7.6840325538354481E-01 a        11     0     1     1    11
 -2.1136639874316856E+00 a        12     0     1     1    12
 -2.5129436803800833E+00 a        13     0     1     1    13
  1.2300401759332302E+00 a        14     0     1     1    14
 -2.1262125150175000E+00 a        15     0     1     1    15
  5.7270804792011507E+00 a        16     0     2     1     1
 -2.7082070697965714E+00 a        17     0     2     1     2
 -2.4453637224038607E+00 a        18     0     2     1     3
  4.5590426826006194E+00 a        19     0     2     1     4
  9.8083571596289676E-01 a        20     0     2     1     5
  4.4876793206122141E+00 a        21     0     2     1     6
  5.3972244528941733E+00 a        22     0     2     1     7
 -1.7655224501436007E+00 a        23     0     2     1     8
  2.6585181293414273E-01 a        24     0     2     1     9
 -1.5624620213337908E+00 a        25     0     2     1    10
 -4.8261270314804454E+00 a        26     0     2     1    11
  3.1896893353844047E-01 a        27     0     2     1    12
  8.8981467066964681E-01 a        28     0     2     1    13
 -8.7596559884122527E-01 a        29     0     2     1    14
 -2.3877682993514027E+00 a        30     0     2     1    15
 -7.6380559008981264E-01 a        31     0     3     1     1
 -1.5636612543638981E-01 a        32     0     3     1     2
  7.9673346972822368E-01 a        33     0     3     1     3
  7.1266479838544983E-01 a        34     0     3     1     4
  9.3078625636113443E-01 a        35     0     3     1     5
  4.3286277420093833E-01 a        36     0     3     1     6
  4.5710165292412834E-02 a        37     0     3     1     7
 -1.0982604878904266E-01 a        38     0     3     1     8
 -5.2873231524780717E-01 a        39     0     3     1     9
  1.3115967904941843E+00 a        40     0     3     1    10
 -1.3287365010088836E+00 a        41     0     3     1    11
  4.1724002769163403E-02 a        42     0     3     1    12
  1.4157899329045913E+00 a        43     0     3     1    13
  5.2224945100241871E-01 a        44     0     3     1    14
 -7.7322505981136436E-01 a        45     0     3     1    15
 -2.7118166475971019E+00 a        46     0     4     1     1
  3.9112613548944791E-01 a        47     0     4     1     2
  1.4085043615293211E+00 a        48     0     4     1     3
 -3.6929490545570554E+00 a        49     0     4     1     4
 -8.9657501204374557E-01 a        50     0     4     1     5
 -2.3828520052018032E+00 a        51     0     4     1     6
 -7.9241009762048966E+00 a        52     0     4     1     7
  2.8305753550113093E+00 a        53     0     4     1     8
  4.0082772623466073E-01 a        54     0     4     1     9
  3.6712955015953410E+00 a        55     0     4     1    10
  4.4666634617411347E+00 a        56     0     4     1    11
 -1.0824052283848196E+00 a        57     0     4     1    12
 -1.3947833645247614E+00 a        58     0     4     1    13
  2.1288577345807957E+00 a        59     0     4     1    14
 -6.0951673496016279E-01 a        60     0     4     1    15
 -3.1344793426067213E-01 a        61     0     5     1     1
 -1.1017367898175763E+00 a        62     0     5     1     2
  8.4372332131653160E-01 a        63     0     5     1     3
 -1.4118327207497236E-01 a        64     0     5     1     4
  2.2862113942721090E+00 a        65     0     5     1     5
  2.8192016838518006E+00 a        66     0     5     1     6
 -1.0762280156005610E+00 a        67     0     5     1     7
  1.1949552375134418E+00 a        68     0     5     1     8
  3.7253654731194752E-01 a        69     0     5     1     9
  4.4360474899048347E-01 a        70     0     5     1    10
  8.0737259072989620E-03 a        71     0     5     1    11
  4.4942074004289765E+00 a        72     0     5     1    12
  1.6743590379211772E+00 a        73     0     5     1    13
  5.8574023276065035E-01 a        74     0     5     1    14
  9.5313994011553960E-01 a        75     0     5     1    15
 -7.4860228819948356E+00 a        76     0     6     1     1
  9.7241467999171138E-01 a        77     0     6     1     2
  1.9930958963898879E+00 a        78     0     6     1     3
 -3.2964020972014811E+00 a        79     0     6     1     4
  1.3933143159486414E+00 a        80     0     6     1     5
 -5.6126652467074161E+00 a        81     0     6     1     6
  1.3632870126975440E+00 a        82     0     6     1     7
  1.9920154391689535E+00 a        83     0     6     1     8
  2.1987697229293039E+00 a        84     0     6     1     9
 -1.1559123445907868E+00 a        85     0     6     1    10
  5.6641111049607877E+00 a        86     0     6     1    11
  8.8493429083369379E-01 a        87     0     6     1    12
 -2.5367273451562511E+00 a        88     0     6     1    13
  1.1338413612601095E+00 a        89     0     6     1    14
  7.1318322743229920E+00 a        90     0     6     1    15
  8.1482126833407631E-01 a        91     0     7     1     1
  2.6588898861076875E+00 a        92     0     7     1     2
 -4.2072906908326951E-01 a        93     0     7     1     3
 -2.2434975984848937E+00 a        94     0     7     1     4
 -4.3742272036841956E-01 a        95     0     7     1     5
 -2.3007183727402256E+00 a        96     0     7     1     6
  1.1835659139980574E+00 a        97     0     7     1     7
 -1.3623516465575760E+00 a        98     0     7     1     8
  2.4910968690059215E-01 a        99     0     7     1     9
 -6.7017250553408458E-01 a       100     0     7     1    10
  2.6035071008410391E+00 a       101     0     7     1    11
  1.7306443444677426E+00 a       102     0     7     1    12
 -1.5766755248681936E+00 a       103     0     7     1    13
 -3.2577482706673155E+00 a       104     0     7     1    14
  3.0606760707497362E+00 a       105     0     7     1    15
  4.1558333077857457E+00 a       106     0     8     1     1
  1.6331225111246410E+00 a       107     0     8     1     2
 -9.0476964349281250E-02 a       108     0     8     1     3
  7.3000789063258855E+00 a       109     0     8     1     4
  1.5286719140166751E+00 a       110     0     8     1     5
  6.1652480846887210E+00 a       111     0     8     1     6
  3.2769492229286992E+00 a       112     0     8     1     7
 -5.3593362500014257E+00 a       113     0     8     1     8
 -2.3795385278187267E+00 a       114     0     8     1     9
 -3.2909171992385300E+00 a       115     0     8     1    10
 -9.5908094033389766E+00 a       116     0     8     1    11
  3.5209169860469141E+00 a       117     0     8     1    12
 -1.6025889175778676E+00 a       118     0     8     1    13
 -4.5290861406929084E+00 a       119     0     8     1    14
  5.0073418737485662E+00 a       120     0     8     1    15
 -6.1524903930619303E-02 a       121     0     9     1     1
  2.4236199434249075E+00 a       122     0     9     1     2
 -2.2805423808851328E+00 a       123     0     9     1     3
  1.9999438819405215E+00 a       124     0     9     1     4
 -3.3747840619782195E+00 a       125     0     9     1     5
 -2.2913532651731375E-01 a       126     0     9     1     6
 -7.5750154942078196E-01 a       127     0     9     1     7
  1.6288979660575089E+00 a       128     0     9     1     8
 -3.3442886330923698E+00 a       129     0     9     1     9
  3.5706760223794571E+00 a       130     0     9     1    10
 -2.9460961980802081E+00 a       131     0     9     1    11
 -5.6850882297431102E+00 a       132     0     9     1    12
  4.5757260834593829E+00 a       133     0     9     1    13
  7.4164971890507725E-01 a       134     0     9     1    14
  2.5620816767797217E+00 a       135     0     9     1    15
  3.8920233306525405E+00 a       136     0    10     1     1
 -3.8130165526800219E-01 a       137     0    10     1     2
  1.8558752126925682E+00 a       138     0    10     1     3
 -6.0216612053900214E+00 a       139     0    10     1     4
 -4.1790227247174982E+00 a       140     0    10     1     5
 -3.5840364220990217E+00 a       141     0    10     1     6
 -2.3469905191309293E+00 a       142     0    10     1     7
  4.9697231746834278E+00 a       143     0    10     1     8
 -3.6308281204989750E+00 a       144     0    10     1     9
  2.8376175264039016E+00 a       145     0    10     1    10
  6.8682045718527860E+00 a       146     0    10     1    11
 -5.0106857205856397E+00 a       147     0    10     1    12
  9.0443614526687721E+00 a       148     0    10     1    13
  3.6249759362000558E+00 a       149     0    10     1    14
 -1.1254488004031098E+01 a       150     0    10     1    15
 -1.0315142046231356E-01 a       151     0    11     1     1
 -3.0345563271540592E+00 a       152     0    11     1     2
  3.5761924057589880E+00 a       153     0    11     1     3
 -1.2473634842986516E+00 a       154     0    11     1     4
  1.9922756080426893E+00 a       155     0    11     1     5
  1.9351064972241858E-01 a       156     0    11     1     6
  3.2700737603432795E-01 a       157     0    11     1     7
  1.2586844419753329E-01 a       158     0    11     1     8
  3.0658172630996132E+00 a       159     0    11     1     9
 -1.8385670036778305E+00 a       160     0    11     1    10
  2.1351737570380052E+00 a       161     0    11     1    11
  2.8535053369086922E+00 a       162     0    11     1    12
 -3.2458387324087394E+00 a       163     0    11     1    13
  1.0418927766222306E+00 a       164     0    11     1    14
 -3.3214626880708935E+00 a       165     0    11     1    15
 -6.6705022705028822E+00 a       166     0    12     1     1
 -2.4809683023001203E+00 a       167     0    12     1     2
 -2.6880799497866836E+00 a       168     0    12     1     3
  2.6596591727834169E+00 a       169     0    12     1     4
  1.9476513392365649E+00 a       170     0    12     1     5
  1.4336438041632256E+00 a       171     0    12     1     6
  5.3088761708232213E-01 a       172     0    12     1     7
 -2.3371592889758701E+00 a       173     0    12     1     8
  3.5277488909443333E+00 a       174     0    12     1     9
 -1.2390354067829537E+00 a       175     0    12     1    10
 -2.6876512224765290E+00 a       176     0    12     1    11
  1.1738068075838797E+00 a       177     0    12     1    12
 -7.3938483807259914E+00 a       178     0    12     1    13
 -2.0227335230641894E+00 a       179     0    12     1    14
  4.4581536341235433E+00 a       180     0    12     1    15
 -2.8031022799276833E-01 a       181     0    13     1     1
 -3.7978120955289357E-01 a       182     0    13     1     2
 -1.0697693529583188E+00 a       183     0    13     1     3
  3.4916643385618068E-01 a       184     0    13     1     4
 -3.4081520992244529E-01 a       185     0    13     1     5
  3.3923492591097598E-01 a       186     0    13     1     6
 -2.6676771419587075E-01 a       187     0    13     1     7
 -1.2754131451571371E+00 a       188     0    13     1     8
 -4.7194202950963515E-01 a       189     0    13     1     9
 -5.4126378467029579E-01 a       190     0    13     1    10
 -7.1837909173894265E-01 a       191     0    13     1    11
 -1.8552190767129476E-01 a       192     0    13     1    12
  1.4038269529142824E-01 a       193     0    13     1    13
 -3.3638281333166714E-01 a       194     0    13     1    14
  8.6414434972940357E-01 a       195     0    13     1    15
  2.7756474618585689E+00 a       196     0    14     1     1
  7.8878480025557318E-01 a       197     0    14     1     2
  9.4478334822795873E-01 a       198     0    14     1     3
 -4.1825360259858657E-01 a       199     0    14     1     4
 -5.5038465239432210E-01 a       200     0    14     1     5
  1.2563610674719596E-02 a       201     0    14     1     6
 -9.9232315524402676E-02 a       202     0    14     1     7
  6.7162626535146974E-01 a       203     0    14     1     8
  1.7291499487401554E-01 a       204     0    14     1     9
  1.1610890813377233E+00 a       205     0    14     1    10
  6.3253271938082101E-01 a       206     0    14     1    11
  3.4843062010716075E-01 a       207     0    14     1    12
  2.2236597242256591E+00 a       208     0    14     1    13
  5.2674082063763172E-01 a       209     0    14     1    14
 -3.5881461245756202E-01 a       210     0    14     1    15
 -1.0376489947024305E-01 a       211     0    15     1     1
  3.1553366807132455E-01 a       212     0    15     1     2
 -2.7824962960533973E-02 a       213     0    15     1     3
 -3.6594494563965137E-02 a       214     0    15     1     4
 -6.6281487754228825E-03 a       215     0    15     1     5
 -2.2253461447528844E-01 a       216     0    15     1     6
  2.1991941963241415E-02 a       217     0    15     1     7
  2.5208398672295346E-01 a       218     0    15     1     8
 -4.5272540498133396E-02 a       219     0    15     1     9
  1.2030227793030847E-01 a       220     0    15     1    10
  5.2420935767868770E-02 a       221     0    15     1    11
 -2.5663173905518606E-03 a       222     0    15     1    12
 -3.3735473784082955E-04 a       223     0    15     1    13
  1.2525391316291612E-01 a       224     0    15     1    14
 -5.3705627489186655E-02 a       225     0    15     1    15
 -1.2564607297953785E+00 a       226     0    16     1     1
 -1.6074309148676946E-01 a       227     0    16     1     2
  1.6286256074268904E-01 a       228     0    16     1     3
 -8.0197068776092076E-02 a       229     0    16     1     4
  9.0882208825177557E-02 a       230     0    16     1     5
  6.3123544353795538E-02 a       231     0    16     1     6
 -2.6231845541502857E-02 a       232     0    16     1     7
 -1.4039069909805427E-01 a       233     0    16     1     8
 -9.0695773957580050E-02 a       234     0    16     1     9
 -6.2050125361680630E-01 a       235     0    16     1    10
 -9.3067448408450493E-02 a       236     0    16     1    11
  1.4230636325848606E-01 a       237     0    16     1    12
 -2.0977580515993865E-02 a       238     0    16     1    13
  1.7503823760268669E-01 a       239     0    16     1    14
  3.1520449636019859E-01 a       240     0    16     1    15
  1.6115088659661567E+00 a       241     0    17     1     1
 -2.3703623594578800E+00 a       242     0    17     1     2
  7.4154268979118387E-01 a       243     0    17     1     3
  6.0782440488735356E-01 a       244     0    17     1     4
 -7.2823768659580457E-01 a       245     0    17     1     5
  1.8373345261911395E-01 a       246     0    17     1     6
  1.1276426820099261E-01 a       247     0    17     1     7
  1.9061386399922218E+00 a       248     0    17     1     8
 -1.7065431894964898E+00 a       249     0    17     1     9
 -1.3066220697806885E+00 a       250     0    17     1    10
 -2.2894744262003244E-01 a       251     0    17     1    11
  1.7841710788489542E+00 a       252     0    17     1    12
 -3.1002550378529006E+00 a       253     0    17     1    13
  8.2677417037960643E-01 a       254     0    17     1    14
 -7.0793345407002317E-01 a       255     0    17     1    15
  2.8354887936985498E+00 a       256     0    18     1     1
 -2.9043711622133217E+00 a       257     0    18     1     2
  2.4417881387239013E-01 a       258     0    18     1     3
  1.8498074297531704E+00 a       259     0    18     1     4
  1.0305806359774776E+00 a       260     0    18     1     5
 -1.6103355361612207E-01 a       261     0    18     1     6
  2.6245801618117560E-02 a       262     0    18     1     7
  8.2045076361183600E-01 a       263     0    18     1     8
  2.3021047996782578E+00 a       264     0    18     1     9
 -3.3879800106414768E+00 a       265     0    18     1    10
